Year	State	Wetland.Code	Latitude	Longitude	Fill.Date	Sample.Date	Site.Date.Abbr	Visit.Number	Weeks.since.fill	Temp	DO_mg.L	DO_percent	pH	Sal_ppt	C_us.cm	SPC_us.cm	Turb_NTU	Area_m2	Avg.Depth_m	Perimeter_m	Avg.degree.days.fill	Days.subfreeze.fill	Precip.total.fill_cm	Rain.fill_cm	Snow.fill_cm	Avg.High.Temp.fill_C	Avg.L.Temp.fill_C	Avg.Windspeed_km.h	Avg.Windgust_km.h	Avg.degree.day.YP	Precip.total.YP_cm	Rain.YP_cm	Snow.YP_cm	Avg.High.Temp.YP_C	Avg.L.Temp.YP_C	Days.subfreeze.YP	PEM_area.km2	PEM_count	PFO.SS_area.km2	PFO.SS_count	Pond_area.km2	Pond_count	Lake_area.km2	Lake_count	Other_area.km2	Other_count	Riverine_area.km2	Riverine_count	All_wetlands_area.km2	All_wetlands_count	Ephemeral_area	Ephemeral_count	Semiperm_area	Semiperm_count	Perm_area	Perm_count	Artificial_area	Artificial_count	Area_prop_eph	Area_prop_semi	Area_prop_perm	emergent_perc	submerge_perc	total_cover
21	TX	HQ	27.445745	-97.298032	13May21	27May21	TXHQ_27May21	1	2	27.7	2.23	27	8.03	0.18	397.6	377.3	6.3	499.773	0.073	NA	26.71071429	0	127.2	127.2	0	26.82	23.04	26.72667	46.36667	23.1909589	756.7	756.7	0	25.70437	20.55082	2	256.4537685	2716	0.141255399	7	0.864377297	173	12.53839049	14	0	0	0	0	269.9977917	2910	219.1706318	2647	50.23835283	250	0.580042113	10	0.008764925	3	0.81174972	0.186069495	0.002148322	71.2	7	78.2
21	TX	CB2	27.449505	-97.294449	13May21	02Jun21	TXCB2_02Jun21	2	3	25.9	5.56	68.4	8.22	0.22	472.8	465	1.57	738.949	0.338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	TX	HQ	27.445745	-97.298032	13May21	02Jun21	TXHQ_02Jun21	2	3	27.2	1.04	14.2	7.81	0.25	546	514	3.03	4103.489	0.188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	TX	NDP	27.443448	-97.29963	13May21	02Jun21	TXNDP_02Jun21	2	3	31.4	2.44	32	7.88	0.1	236.2	209	8.36	760.74	0.048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	TX	CB	27.450227	-97.293961	30Apr21	02Jun21	TXCB_02Jun21	5	5	28.5	1.4	17.9	8.02	0.25	555	518	1.97	12804.031	0.348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	TX	SP	27.421845	-97.304727	13May21	02Jun21	TXSP_02Jun21	5	3	34.3	10.47	149.3	8.58	0.44	1059	901	2.94	19337.775	0.202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	KS	01	NA	NA	NA	08Jun21	KS1_08Jun21	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	KS	02	NA	NA	NA	08Jun21	KS2_08Jun21	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	KS	03	37.89994	-100.40977	29Apr21	08Jun21	KS3_08Jun21	1	5.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.305	0	173.3	173.3	0	23.1	12.61707	24.13171	45.4561	14.17410959	547.0000053	503.6000029	34.2299997	20.03989071	8.230874317	90	11.81157238	999	0.15377497	15	0.947878248	265	0.063082873	1	0	0	3.861204925	298	16.8375134	1578	16.02154408	1355	0.684037479	147	0.131931837	76	0	0	0.951538609	0.040625802	0.007835589	NA	NA	NA
21	KS	04	37.63658	-100.50968	6May21	09Jun21	KS4_09Jun21	1	4.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.06764706	0	174.5	174.5	0	23.61143	13.43429	24.17429	45	14.32027397	586.1	536.9	36.54	20.23743	8.324863	87	8.3185417	982	0.031155492	8	1.338231882	396	0	0	0	0	1.584710627	266	11.2726397	1652	10.415729	1379	0.845993379	225	0.010917325	48	0	0	0.923983137	0.075048383	0.00096848	NA	NA	NA
21	KS	05	37.6358	-100.35508	6May21	09Jun21	KS5_09Jun21	1	4.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.99117647	0	171.4	171.4	0	23.48286	13.41429	23.96571	44.82571	14.26657534	659.6	607.7	38.5	20.13497	8.320219	87	8.217811287	977	0.018918515	7	0.57938312	211	0	0	0	0	2.935133727	256	11.75124665	1451	11.42440104	1346	0.321737171	84	0.005108438	21	0	0	0.972186303	0.027378982	0.000434715	NA	NA	NA
21	KS	06	NA	NA	NA	09Jun21	KS6_09Jun21	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	ND	01	46.864032	-98.88125	26May21	11Jun21	ND1_11Jun21	1	2.29	22.7	4.62	57.3	7.512	NA	NA	336.02	47.78	NA	0.4084	NA	20.853125	0	18.1	18.1	0	25.89412	13.35882	23.48235294	NA	7.639178082	482.4	419.6	51.45	12.42295	2.813661	167	71.72549592	11598	0.529853784	159	1.691229029	316	33.06164954	8	0	0	6.561471109	412	113.5696994	12493	63.65569706	11757	13.04085625	648	36.87314607	88	0	0	0.560498948	0.114826898	0.324674154	2.2	0.2	2.4
21	ND	02	46.8649071	-98.8820151	10Apr21	15Jun21	ND2_15Jun21	1	9.43	21.1	2.52	30.3	6.956	NA	NA	971	78.78	NA	0.2544	NA	12.88106061	4	76.49999964	65.10000124	9.80000072	18.62239	6.755224	22.7	42.6358209	7.49630137	482.5	429.9	43.26	12.23525	2.716393	169	71.24467259	11542	0.527765123	157	1.635354836	314	29.02122654	9	0	0	4.416492282	413	106.8455114	12435	62.10171738	11706	13.73928767	644	31.00450632	85	0	0	0.581229072	0.128590219	0.29018071	24	0	24
21	ND	03	46.8706791	-98.8812879	26May21	15Jun21	ND3_15Jun21	1	2.86	26.5	6.51	86.8	7.488	NA	NA	421.72	>120	NA	0.2804	NA	21.085	0	18.1	18.1	0	26.33333	13.82857	22.5619	42.98571	7.639178082	482.4	419.6	51.45	12.42295	2.813661	167	68.34228463	11373	0.525603403	155	1.732685791	312	62.71254976	14	0	0	7.173618648	427	140.4867422	12281	58.64453714	11553	13.48948091	630	68.35272418	98	0	0	0.417438231	0.096019601	0.486542168	14	2	16
21	ND	04	46.870545	-98.8774902	24May21	16Jun21	ND4_16Jun21	1	3.29	18.3	8.03	91.34	7.904	NA	NA	438.76	7.36	NA	0.2386	NA	21.04347826	0	18.7	18.7	0	26.35833	13.975	24.21667	45.74167	7.658356164	485.9	423.1	51.45	12.4418	2.83306	167	67.35260721	11349	0.52965278	157	1.724269891	313	84.14889311	17	0	0	9.219774367	421	162.9751974	12257	59.38694308	11530	12.08650572	620	91.50174855	107	0	0	0.364392521	0.074161627	0.561445852	0	0	0
21	ND	05	46.874846	-98.873776	14May21	16Jun21	ND5_16Jun21	1	4.71	22.26	5.68	69.94	7.978	NA	NA	355.3	10.92	NA	0.3294	NA	20.11363636	0	50.6	50.6	0	25.71765	13.32647	23.22941	43.65588	7.605890411	442.5	381	50.12	12.38254	2.787705	165	64.25008112	11210	0.531143266	157	1.750066362	313	97.6024881	19	0	0	10.15863518	420	174.292414	12119	56.32971582	11411	11.32469624	603	106.638002	105	0	0	0.323190864	0.064975268	0.611833869	6.4	21	27.4
22	ND	07	47.1517062	-99.2434683	26Apr22	06May22	ND7_06May22	1	1.43	14.44	8.114	85.03	8.06	NA	NA	218.88	83.24	NA	0.604	NA	5.76	4	41.7	41.7	0	10.19091	0.281818	22.82727	41.82727	5.731643836	631.4	477.1	110.67	10.8694	0.562568	169	84.72619403	13387	0.039948401	18	3.474623043	405	19.13649968	63	0	0	0.75759762	492	108.1348628	14365	25.05812739	7809	63.90308781	6346	19.17364758	210	0	0	0.23173033	0.590957312	0.177312359	0	66	66
22	ND	08	47.270852	-99.183328	26Apr22	08May22	ND8_08May22	1	1.71	17.8	11.728	132	8.28	NA	NA	436.38	117.12	NA	0.6482	NA	7.125	4	52.6	52.6	0	11.68462	1.469231	23.73846	43.03077	5.703424658	631.4	477.1	110.67	10.85301	0.522678	170	68.08336755	12873	0.097865237	38	3.875070146	498	11.06612391	39	0.656189308	433	2.870946281	595	86.64956243	14476	29.33887254	6964	45.21763301	6910	11.43686758	169	0	0	0.338592276	0.521844909	0.131989906	8	12	20
22	ND	09	47.15022	-99.228608	26Apr22	10May22	ND9_10May22	1	2	16.2	9.562	104.07	7.986	NA	NA	329.34	101.42	NA	0.6262	NA	7.767857143	4	79.7	79.7	0	12.19333	2.306667	23.93333	43.77333	5.782191781	631.4	477.1	110.67	10.92158	0.611202	167	85.45828423	13279	0.026232529	15	3.219581166	395	18.65595645	64	0	0	0.790529474	484	108.1505839	14237	25.07724724	7678	64.38382533	6352	18.68951129	207	0	0	0.231873434	0.595316484	0.172810082	4.2	48	52.2
22	ND	10	47.212506	-99.188615	26Apr22	11May22	ND10_11May22	1	2.14	16.04	9.406	102.03	7.268	NA	NA	104.02	94.34	NA	0.5246	NA	8.033333333	4	85.5	85.5	0	12.58128	2.48125	23.9	44.11875	5.731643836	631.4	477.1	110.67	10.8694	0.562568	169	77.35380388	13912	0.094268996	36	3.644772934	424	13.3223639	49	0.064247005	48	3.410007115	650	97.88946383	15119	39.28171686	11944	44.93636563	2909	13.60713434	218	0	0	0.401286465	0.459052117	0.139005096	8	20	28
22	ND	11	47.139285	-99.247485	26Apr22	15May22	ND11_15May22	1	2.71	12.02	2.412	23.95	7.398	NA	NA	790.6	59.34	NA	0.6462	NA	9.094736842	4	148.3	148.3	0	13.355	3.925	26.74	49.155	5.899315068	631.4	477.1	110.67	11.02732	0.739071	165	85.43087264	12831	0.037038535	11	3.147283824	371	20.39815488	62	0	0	0.606247115	434	109.619597	13714	33.73431745	10436	55.4521355	3077	20.43314404	201	0	0	0.307739842	0.505859691	0.186400467	20	90	110
22	TX	PN	NA	NA	NA	12Sep22	TXPN_12Sep22	1	NA	29.562	6.5	86	7.76	0.92	NA	1821	NA	NA	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	09	NA	NA	NA	22Jul20	NM9_22Jul20	1	0.29	22.4	8	112	8.49	0.07	NA	166.5	2.2	11515.2	0.102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	08	32.52722222	-106.7694444	NA	22Jul20	NM8_22Jul20	1	2.5	22.5	6.5	79.7	8.63	0.06	NA	141.1	415	344.5	0.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	08	32.52722222	-106.7694444	NA	19Aug20	NM8_19Aug20	2	6	21.7	NA	NA	9.74	0.07	NA	167.2	NA	298.2	0.216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	12	32.5580555	-106.7	NA	29Jul20	NM12_29Jul20	1	1	24.1	4.18	85.45	8.54	0.06	NA	148.8	690	326.11	0.136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	12	32.5580555	-106.7	NA	05Aug20	NM12_05Aug20	2	2	23.24	5.22	96.3	8.76	0.07	NA	151	718	267.83	0.1025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	05	32.54027778	-106.883611	NA	22Jul20	NM5_22Jul20	1	0.86	22.7	7.8	104.9	8.82	0.06	NA	140	202.3	719.7	0.174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	05	32.54027778	-106.883611	NA	29Jul20	NM5_29Jul20	2	1.86	24.9	9.3	124	8.74	0.07	NA	160	168	791.41	0.268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	05	32.54027778	-106.883611	NA	05Aug20	NM5_05Aug20	3	2.86	21.6	11.5	120	8.61	0.07	NA	165	25.9	594.34	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	05	32.54027778	-106.883611	NA	19Aug20	NM5_19Aug20	4	4.86	19.28	10.9	116	10.23	0.07	NA	163.4	0	49.36	0.094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	10	32.46777778	-106.714722	NA	07Jul20	NM10_07Jul20	1	0.29	22.9	7.8	106.8	8.54	0.06	NA	130	3470	425.8	0.142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	10	32.46777778	-106.714722	NA	14Jul20	NM10_14Jul20	2	1.29	26.72	12.8	176	8.17	0.06	NA	150	3140	211.9	0.088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	10	32.46777778	-106.714722	NA	17Jul20	NM10_17Jul20	3	1.71	25.94	8.9	135	8.6	0.06	NA	150	2930	16.28	0.068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	10	32.46777778	-106.714722	NA	22Jul20	NM10_22Jul20	4	0.85	25.75	9.1	141	9.03	0.06	NA	133	3100	10.35	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NM	10	32.46777778	-106.714722	NA	29Jul20	NM10_29Jul20	5	3.43	24.03	12.3	120	8.56	0.06	NA	150	2640	1109	0.292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	NM	10	32.46777778	-106.714722	12Jul21	26Jul21	NM10_26Jul21	1	2	29.87	6.59	105.6	8.01	0.03	NA	353.2	NA	1264.23	0.414	NA	29.18571429	0	12.8	12.8	0	32.74	21.74	14.71333	33.16	19.27109589	179.9	163.2	11.9	25.38798	13.04891	20	0.019069292	10	0.215159717	34	0.89205083	98	2.181384047	6	0	0	199.9503363	864	203.2580002	1012	201.6274552	792	0.102749259	34	0.676685706	184	0	0	0.991977954	0.000505512	0.003329196	0.4	2.6	3
21	NM	02	NA	NA	NA	27Jul21	NM2_27Jul21	1	2.857142857	34	0	0	8.23	0.13	NA	278.6	NA	659.32	0.132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	NM	05	32.54027778	-106.883611	12Jul21	20Jul21	NM5_20Jul21	1	1	27.96	2.84	43.8	7.56	0.1	NA	218.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	NM	05	32.54027778	-106.883611	12Jul21	26Jul21	NM5_26Jul21	2	2	24.43	4.19	60.2	8.14	0.12	NA	243.5	NA	945.94	0.406	NA	29.03928571	0	8.90000009	8.90000009	0	32.68666667	21.52	16.93333333	32.41333333	18.65589041	154.1	137.8	11.48	25.17432	12.03552	32	0.157935382	23	1.693174261	97	0.652386694	76	0.257308312	3	0	0	138.4877485	421	141.2485531	620	140.5709025	521	0.12303981	29	0.546435904	63	0.008174929	7	0.995202424	0.000871087	0.003868612	0.2	20.2	20.4
21	NM	08	32.52722222	-106.7694444	28Jun21	12Jul21	NM8_12Jul21	1	2	22.9	2.4	34	7.55	0.07	NA	157	NA	368.15	0.228	NA	26.56071429	0	60.4000006	60.4000006	0	29.63333333	19.94666667	12.3	28.84666667	19.15109589	129.2	112.5	11.9	25.58415	12.61339	29	0.028938268	14	0.974454949	82	0.83751066	142	1.107374699	4	0	0	139.8907255	654	142.839004	896	141.2931167	694	0.167740243	38	0.516097127	154	0.010939935	8	0.989177414	0.001174331	0.003613139	0	0	0
21	NM	06	32.54638889	-106.821944	12Jul21	26Jul21	NM6_26Jul21	1	2	25.93	6.61	97.6	8.29	0.09	NA	194.6	NA	46960	0.202	NA	29.19285714	0	12.8000001	12.8000001	0	32.84	21.65333333	14.71333333	33.16	18.94643836	179.9	163.2	11.9	25.3235	12.46585	29	0.1223262	16	1.373671085	67	0.460776807	77	0.682863335	4	0	0	85.00111044	329	87.64074787	493	86.72009283	399	0.098736544	23	0.389996649	65	0.006366823	5	0.989495126	0.001126605	0.004449947	0.4	48	48.4
22	NM	10	32.46777778	-106.714722	12Jul22	26Jul22	NM10_26Jul22	1	2	24.24	2.67	37.5	7.62	0.14	NA	300	1050	1165.7	0.45	NA	32.83571429	0	6.3	6.3	0	36.86667	24.42667	15.67333	31.7	19.26479452	210.6	207.2	2.38	25.13443	13.28989	11	0.019069292	10	0.215159717	34	0.89205083	98	2.181384047	6	0	0	199.9503363	864	203.2580002	1012	201.6274552	792	0.102749259	34	0.676685706	184	0	0	0.991977954	0.000505512	0.003329196	2.2	0	2.2
